Segment,Customer_ID,Product_ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,Sales ('000),COGS,Profit,Profit ('000),Date,Month,Quarter,Year,Customer_Name,Product_Name,Country
Government,CUST_ID_177,PROD_ID_004,None,1357.65,250,350,475177.5,0,475177.5,475.18,339412.5,135765,135.76,27-03-2024,Mar,Q1,2024,Laura Miller,VTT,India
Channel Partners,CUST_ID_253,PROD_ID_001,Low,597.07,5,12,7164.84,358.24,6806.6,6.81,2985.35,3821.25,3.82,28-03-2024,Mar,Q1,2024,Hannah Rodriguez,Montana,France
Midmarket,CUST_ID_237,PROD_ID_005,High,684.14,3,15,10262.1,1539.32,8722.78,8.72,2052.42,6670.36,6.67,28-03-2024,Mar,Q1,2024,Charlie Moore,Carretera,India
Small Business,CUST_ID_278,PROD_ID_006,Medium,805.04,260,300,241512,24151.2,217360.8,217.36,209310.4,8050.4,8.05,28-03-2024,Mar,Q1,2024,Bob Hernandez,Amarilla,India
Government,CUST_ID_242,PROD_ID_006,High,3962.57,260,350,1386899.5,208034.92,1178864.58,1178.86,1030268.2,148596.38,148.6,28-03-2024,Mar,Q1,2024,Hannah Jones,Amarilla,Germany
Government,CUST_ID_188,PROD_ID_001,None,1752.07,5,350,613224.5,0,613224.5,613.22,8760.35,604464.15,604.46,28-03-2024,Mar,Q1,2024,Julia Williams,Montana,Japan
Midmarket,CUST_ID_210,PROD_ID_001,None,1606.7,5,15,24100.5,0,24100.5,24.1,8033.5,16067,16.07,28-03-2024,Mar,Q1,2024,Bob Gonzalez,Montana,Canada
Enterprise,CUST_ID_278,PROD_ID_002,High,2209.17,10,125,276146.25,41421.94,234724.31,234.72,22091.7,212632.61,212.63,28-03-2024,Mar,Q1,2024,Bob Hernandez,Paseo,Italy
Small Business,CUST_ID_190,PROD_ID_005,None,808.14,3,300,242442,0,242442,242.44,2424.42,240017.58,240.02,28-03-2024,Mar,Q1,2024,Nina Johnson,Carretera,Japan
Midmarket,CUST_ID_270,PROD_ID_003,High,1235.38,120,15,18530.7,2779.61,15751.09,15.75,148245.6,-132494.51,-132.49,29-03-2024,Mar,Q1,2024,Oscar Lopez,Velo,Germany
Small Business,CUST_ID_289,PROD_ID_005,None,962.06,3,300,288618,0,288618,288.62,2886.18,285731.82,285.73,29-03-2024,Mar,Q1,2024,Tina Jackson,Carretera,USA
Enterprise,CUST_ID_261,PROD_ID_004,High,1629.12,250,125,203640,30546,173094,173.09,407280,-234186,-234.19,29-03-2024,Mar,Q1,2024,Grace Moore,VTT,India
Government,CUST_ID_264,PROD_ID_001,None,1530.61,5,350,535713.5,0,535713.5,535.71,7653.05,528060.45,528.06,30-03-2024,Mar,Q1,2024,Hannah Jackson,Montana,Germany
Government,CUST_ID_193,PROD_ID_004,Low,1937.38,250,350,678083,33904.15,644178.85,644.18,484345,159833.85,159.83,30-03-2024,Mar,Q1,2024,Tina Williams,VTT,India
Enterprise,CUST_ID_275,PROD_ID_005,High,2320.16,3,125,290020,43503,246517,246.52,6960.48,239556.52,239.56,30-03-2024,Mar,Q1,2024,Mike Jones,Carretera,Japan
Channel Partners,CUST_ID_272,PROD_ID_002,None,1087.08,10,12,13044.96,0,13044.96,13.04,10870.8,2174.16,2.17,30-03-2024,Mar,Q1,2024,David Williams,Paseo,Japan
Channel Partners,CUST_ID_247,PROD_ID_006,Medium,1649.71,260,12,19796.52,1979.65,17816.87,17.82,428924.6,-411107.73,-411.11,31-03-2024,Mar,Q1,2024,Steve Thomas,Amarilla,Germany
Enterprise,CUST_ID_233,PROD_ID_001,None,1256.4,5,125,157050,0,157050,157.05,6282,150768,150.77,01-04-2024,Apr,Q2,2024,Steve Williams,Montana,Italy
Channel Partners,CUST_ID_240,PROD_ID_001,Medium,1070.86,5,12,12850.32,1285.03,11565.29,11.57,5354.3,6210.99,6.21,02-04-2024,Apr,Q2,2024,David Gonzalez,Montana,India
Small Business,CUST_ID_239,PROD_ID_004,Medium,245.16,250,300,73548,7354.8,66193.2,66.19,61290,4903.2,4.9,03-04-2024,Apr,Q2,2024,Paul Williams,VTT,France
Midmarket,CUST_ID_214,PROD_ID_006,Medium,1388.8,260,15,20832,2083.2,18748.8,18.75,361088,-342339.2,-342.34,04-04-2024,Apr,Q2,2024,Rachel Miller,Amarilla,Canada
Enterprise,CUST_ID_229,PROD_ID_003,Low,1039.42,120,125,129927.5,6496.38,123431.12,123.43,124730.4,-1299.28,-1.3,04-04-2024,Apr,Q2,2024,Hannah Smith,Velo,Italy
Government,CUST_ID_160,PROD_ID_006,High,2704.15,260,350,946452.5,141967.88,804484.62,804.48,703079,101405.62,101.41,05-04-2024,Apr,Q2,2024,Eva Miller,Amarilla,India
Enterprise,CUST_ID_219,PROD_ID_006,High,2175.98,260,125,271997.5,40799.62,231197.88,231.2,565754.8,-334556.92,-334.56,05-04-2024,Apr,Q2,2024,Nina Davis,Amarilla,Italy
Channel Partners,CUST_ID_247,PROD_ID_004,Medium,1358.81,250,12,16305.72,1630.57,14675.15,14.68,339702.5,-325027.35,-325.03,06-04-2024,Apr,Q2,2024,Steve Thomas,VTT,Japan
Midmarket,CUST_ID_176,PROD_ID_003,High,1254.15,120,15,18812.25,2821.84,15990.41,15.99,150498,-134507.59,-134.51,06-04-2024,Apr,Q2,2024,David Smith,Velo,Italy
Channel Partners,CUST_ID_193,PROD_ID_003,Medium,1954.14,120,12,23449.68,2344.97,21104.71,21.1,234496.8,-213392.09,-213.39,06-04-2024,Apr,Q2,2024,Tina Williams,Velo,France
Enterprise,CUST_ID_278,PROD_ID_005,Low,1574.71,3,125,196838.75,9841.94,186996.81,187,4724.13,182272.68,182.27,06-04-2024,Apr,Q2,2024,Bob Hernandez,Carretera,USA
Channel Partners,CUST_ID_227,PROD_ID_004,Low,1436.86,250,12,17242.32,862.12,16380.2,16.38,359215,-342834.8,-342.83,07-04-2024,Apr,Q2,2024,Paul Jones,VTT,Canada
Enterprise,CUST_ID_299,PROD_ID_005,Medium,1546.73,3,125,193341.25,19334.12,174007.13,174.01,4640.19,169366.94,169.37,07-04-2024,Apr,Q2,2024,Hannah Gonzalez,Carretera,Japan
Midmarket,CUST_ID_260,PROD_ID_003,None,1477.31,120,15,22159.65,0,22159.65,22.16,177277.2,-155117.55,-155.12,07-04-2024,Apr,Q2,2024,Nina Jackson,Velo,Germany
Small Business,CUST_ID_280,PROD_ID_004,Medium,360.06,250,300,108018,10801.8,97216.2,97.22,90015,7201.2,7.2,09-04-2024,Apr,Q2,2024,Kevin Johnson,VTT,India
Channel Partners,CUST_ID_215,PROD_ID_005,High,1507.34,3,12,18088.08,2713.21,15374.87,15.37,4522.02,10852.85,10.85,09-04-2024,Apr,Q2,2024,Eva Taylor,Carretera,England
Channel Partners,CUST_ID_155,PROD_ID_002,High,819.43,10,12,9833.16,1474.97,8358.19,8.36,8194.3,163.89,0.16,09-04-2024,Apr,Q2,2024,Hannah Johnson,Paseo,Japan
Channel Partners,CUST_ID_219,PROD_ID_005,High,1901.95,3,12,22823.4,3423.51,19399.89,19.4,5705.85,13694.04,13.69,09-04-2024,Apr,Q2,2024,Nina Davis,Carretera,USA
Midmarket,CUST_ID_284,PROD_ID_003,High,721.62,120,15,10824.3,1623.64,9200.66,9.2,86594.4,-77393.74,-77.39,09-04-2024,Apr,Q2,2024,Grace Jackson,Velo,England
Government,CUST_ID_227,PROD_ID_004,Medium,3580.56,250,350,1253196,125319.6,1127876.4,1127.88,895140,232736.4,232.74,09-04-2024,Apr,Q2,2024,Paul Jones,VTT,Canada
Government,CUST_ID_203,PROD_ID_003,Medium,2938.13,120,350,1028345.5,102834.55,925510.95,925.51,352575.6,572935.35,572.94,10-04-2024,Apr,Q2,2024,Frank Lopez,Velo,Germany
Government,CUST_ID_211,PROD_ID_002,None,1449.89,10,350,507461.5,0,507461.5,507.46,14498.9,492962.6,492.96,10-04-2024,Apr,Q2,2024,Kevin Smith,Paseo,USA
Small Business,CUST_ID_213,PROD_ID_004,High,647.86,250,300,194358,29153.7,165204.3,165.2,161965,3239.3,3.24,10-04-2024,Apr,Q2,2024,Frank Moore,VTT,India
Enterprise,CUST_ID_259,PROD_ID_002,Low,1545.42,10,125,193177.5,9658.88,183518.62,183.52,15454.2,168064.42,168.06,10-04-2024,Apr,Q2,2024,Hannah Brown,Paseo,USA
Small Business,CUST_ID_217,PROD_ID_006,Low,715.44,260,300,214632,10731.6,203900.4,203.9,186014.4,17886,17.89,11-04-2024,Apr,Q2,2024,Frank Williams,Amarilla,USA
Enterprise,CUST_ID_275,PROD_ID_001,None,1627.81,5,125,203476.25,0,203476.25,203.48,8139.05,195337.2,195.34,11-04-2024,Apr,Q2,2024,Mike Jones,Montana,Germany
Government,CUST_ID_167,PROD_ID_003,None,2190.69,120,350,766741.5,0,766741.5,766.74,262882.8,503858.7,503.86,12-04-2024,Apr,Q2,2024,Charlie Davis,Velo,England
Enterprise,CUST_ID_211,PROD_ID_005,None,2043.92,3,125,255490,0,255490,255.49,6131.76,249358.24,249.36,12-04-2024,Apr,Q2,2024,Kevin Smith,Carretera,Germany
Enterprise,CUST_ID_278,PROD_ID_002,None,2546.38,10,125,318297.5,0,318297.5,318.3,25463.8,292833.7,292.83,12-04-2024,Apr,Q2,2024,Bob Hernandez,Paseo,Italy
Channel Partners,CUST_ID_235,PROD_ID_006,High,1708.76,260,12,20505.12,3075.77,17429.35,17.43,444277.6,-426848.25,-426.85,12-04-2024,Apr,Q2,2024,Grace Johnson,Amarilla,France
Midmarket,CUST_ID_259,PROD_ID_002,None,762.73,10,15,11440.95,0,11440.95,11.44,7627.3,3813.65,3.81,14-04-2024,Apr,Q2,2024,Hannah Brown,Paseo,Germany
Government,CUST_ID_263,PROD_ID_003,None,2471.08,120,350,864878,0,864878,864.88,296529.6,568348.4,568.35,15-04-2024,Apr,Q2,2024,Ian Jones,Velo,Italy
Small Business,CUST_ID_179,PROD_ID_005,High,579.88,3,300,173964,26094.6,147869.4,147.87,1739.64,146129.76,146.13,15-04-2024,Apr,Q2,2024,Ian Anderson,Carretera,France
Midmarket,CUST_ID_222,PROD_ID_003,High,1573.51,120,15,23602.65,3540.4,20062.25,20.06,188821.2,-168758.95,-168.76,15-04-2024,Apr,Q2,2024,Kevin Miller,Velo,Germany
Channel Partners,CUST_ID_156,PROD_ID_001,None,1536.02,5,12,18432.24,0,18432.24,18.43,7680.1,10752.14,10.75,16-04-2024,Apr,Q2,2024,Laura Davis,Montana,France
Channel Partners,CUST_ID_215,PROD_ID_004,Medium,1458.42,250,12,17501.04,1750.1,15750.94,15.75,364605,-348854.06,-348.85,16-04-2024,Apr,Q2,2024,Eva Taylor,VTT,Italy
Channel Partners,CUST_ID_182,PROD_ID_002,High,1082.71,10,12,12992.52,1948.88,11043.64,11.04,10827.1,216.54,0.22,17-04-2024,Apr,Q2,2024,Laura Martin,Paseo,India
Small Business,CUST_ID_216,PROD_ID_001,Low,437.94,5,300,131382,6569.1,124812.9,124.81,2189.7,122623.2,122.62,17-04-2024,Apr,Q2,2024,Nina Moore,Montana,England
Small Business,CUST_ID_263,PROD_ID_006,High,831.45,260,300,249435,37415.25,212019.75,212.02,216177,-4157.25,-4.16,17-04-2024,Apr,Q2,2024,Ian Jones,Amarilla,Germany
Government,CUST_ID_171,PROD_ID_004,High,3779.49,250,350,1322821.5,198423.23,1124398.27,1124.4,944872.5,179525.77,179.53,17-04-2024,Apr,Q2,2024,Charlie Thomas,VTT,Italy
Enterprise,CUST_ID_259,PROD_ID_002,Medium,2012.67,10,125,251583.75,25158.38,226425.37,226.43,20126.7,206298.67,206.3,18-04-2024,Apr,Q2,2024,Hannah Brown,Paseo,Italy
Channel Partners,CUST_ID_258,PROD_ID_006,Medium,1179.89,260,12,14158.68,1415.87,12742.81,12.74,306771.4,-294028.59,-294.03,18-04-2024,Apr,Q2,2024,Paul Thomas,Amarilla,USA
Midmarket,CUST_ID_164,PROD_ID_006,High,1686.53,260,15,25297.95,3794.69,21503.26,21.5,438497.8,-416994.54,-416.99,20-04-2024,Apr,Q2,2024,Paul Miller,Amarilla,England
Government,CUST_ID_151,PROD_ID_002,Medium,1941.17,10,350,679409.5,67940.95,611468.55,611.47,19411.7,592056.85,592.06,20-04-2024,Apr,Q2,2024,Grace Hernandez,Paseo,Canada
Midmarket,CUST_ID_179,PROD_ID_002,Low,1770.44,10,15,26556.6,1327.83,25228.77,25.23,17704.4,7524.37,7.52,20-04-2024,Apr,Q2,2024,Ian Anderson,Paseo,India
Government,CUST_ID_232,PROD_ID_004,Low,1782.04,250,350,623714,31185.7,592528.3,592.53,445510,147018.3,147.02,20-04-2024,Apr,Q2,2024,Quincy Rodriguez,VTT,Italy
Midmarket,CUST_ID_223,PROD_ID_001,High,1051.4,5,15,15771,2365.65,13405.35,13.41,5257,8148.35,8.15,20-04-2024,Apr,Q2,2024,Tina Hernandez,Montana,India
Channel Partners,CUST_ID_247,PROD_ID_002,None,1922.16,10,12,23065.92,0,23065.92,23.07,19221.6,3844.32,3.84,21-04-2024,Apr,Q2,2024,Steve Thomas,Paseo,France
Government,CUST_ID_173,PROD_ID_002,Medium,3103.78,10,350,1086323,108632.3,977690.7,977.69,31037.8,946652.9,946.65,21-04-2024,Apr,Q2,2024,David Jackson,Paseo,England
Government,CUST_ID_163,PROD_ID_005,High,2801.18,3,350,980413,147061.95,833351.05,833.35,8403.54,824947.51,824.95,21-04-2024,Apr,Q2,2024,Alice Rodriguez,Carretera,England
Small Business,CUST_ID_173,PROD_ID_002,None,211.29,10,300,63387,0,63387,63.39,2112.9,61274.1,61.27,21-04-2024,Apr,Q2,2024,David Jackson,Paseo,India
Government,CUST_ID_267,PROD_ID_001,Low,3140.69,5,350,1099241.5,54962.08,1044279.42,1044.28,15703.45,1028575.97,1028.58,22-04-2024,Apr,Q2,2024,Paul Rodriguez,Montana,France
Small Business,CUST_ID_219,PROD_ID_006,High,505.66,260,300,151698,22754.7,128943.3,128.94,131471.6,-2528.3,-2.53,23-04-2024,Apr,Q2,2024,Nina Davis,Amarilla,India
Channel Partners,CUST_ID_203,PROD_ID_002,Medium,1590.06,10,12,19080.72,1908.07,17172.65,17.17,15900.6,1272.05,1.27,24-04-2024,Apr,Q2,2024,Frank Lopez,Paseo,France
Midmarket,CUST_ID_258,PROD_ID_004,Low,543.16,250,15,8147.4,407.37,7740.03,7.74,135790,-128049.97,-128.05,24-04-2024,Apr,Q2,2024,Paul Thomas,VTT,Germany
Channel Partners,CUST_ID_211,PROD_ID_004,Low,1054.46,250,12,12653.52,632.68,12020.84,12.02,263615,-251594.16,-251.59,25-04-2024,Apr,Q2,2024,Kevin Smith,VTT,Japan
Enterprise,CUST_ID_172,PROD_ID_004,Low,2742.89,250,125,342861.25,17143.06,325718.19,325.72,685722.5,-360004.31,-360,25-04-2024,Apr,Q2,2024,Mike Smith,VTT,India
Government,CUST_ID_205,PROD_ID_006,High,3208.31,260,350,1122908.5,168436.27,954472.23,954.47,834160.6,120311.63,120.31,25-04-2024,Apr,Q2,2024,David Brown,Amarilla,Germany
Enterprise,CUST_ID_169,PROD_ID_005,None,1104.23,3,125,138028.75,0,138028.75,138.03,3312.69,134716.06,134.72,26-04-2024,Apr,Q2,2024,Paul Wilson,Carretera,France
Small Business,CUST_ID_271,PROD_ID_005,None,204.29,3,300,61287,0,61287,61.29,612.87,60674.13,60.67,26-04-2024,Apr,Q2,2024,Tina Johnson,Carretera,India
Government,CUST_ID_228,PROD_ID_006,Medium,1396.71,260,350,488848.5,48884.85,439963.65,439.96,363144.6,76819.05,76.82,26-04-2024,Apr,Q2,2024,Steve Moore,Amarilla,USA
Midmarket,CUST_ID_299,PROD_ID_003,Low,1255.62,120,15,18834.3,941.72,17892.58,17.89,150674.4,-132781.82,-132.78,26-04-2024,Apr,Q2,2024,Hannah Gonzalez,Velo,Italy
Midmarket,CUST_ID_270,PROD_ID_001,Medium,1565.38,5,15,23480.7,2348.07,21132.63,21.13,7826.9,13305.73,13.31,26-04-2024,Apr,Q2,2024,Oscar Lopez,Montana,India
Small Business,CUST_ID_187,PROD_ID_001,Medium,235.33,5,300,70599,7059.9,63539.1,63.54,1176.65,62362.45,62.36,27-04-2024,Apr,Q2,2024,David Wilson,Montana,England
Small Business,CUST_ID_278,PROD_ID_006,Medium,940.99,260,300,282297,28229.7,254067.3,254.07,244657.4,9409.9,9.41,28-04-2024,Apr,Q2,2024,Bob Hernandez,Amarilla,Germany
Channel Partners,CUST_ID_218,PROD_ID_003,Medium,1153.66,120,12,13843.92,1384.39,12459.53,12.46,138439.2,-125979.67,-125.98,29-04-2024,Apr,Q2,2024,Nina Miller,Velo,England
Government,CUST_ID_231,PROD_ID_002,High,1159.67,10,350,405884.5,60882.67,345001.83,345,11596.7,333405.13,333.41,29-04-2024,Apr,Q2,2024,Nina Anderson,Paseo,England
Midmarket,CUST_ID_164,PROD_ID_002,None,1205.37,10,15,18080.55,0,18080.55,18.08,12053.7,6026.85,6.03,29-04-2024,Apr,Q2,2024,Paul Miller,Paseo,England
Government,CUST_ID_270,PROD_ID_001,High,1122.38,5,350,392833,58924.95,333908.05,333.91,5611.9,328296.15,328.3,29-04-2024,Apr,Q2,2024,Oscar Lopez,Montana,Italy
Government,CUST_ID_294,PROD_ID_004,High,1337.47,250,350,468114.5,70217.18,397897.32,397.9,334367.5,63529.82,63.53,30-04-2024,Apr,Q2,2024,Julia Anderson,VTT,England
Small Business,CUST_ID_182,PROD_ID_001,Low,894.54,5,300,268362,13418.1,254943.9,254.94,4472.7,250471.2,250.47,01-05-2024,May,Q2,2024,Laura Martin,Montana,England
Channel Partners,CUST_ID_194,PROD_ID_003,Low,1375.32,120,12,16503.84,825.19,15678.65,15.68,165038.4,-149359.75,-149.36,01-05-2024,May,Q2,2024,Oscar Jackson,Velo,USA
Channel Partners,CUST_ID_285,PROD_ID_002,High,1880.62,10,12,22567.44,3385.12,19182.32,19.18,18806.2,376.12,0.38,02-05-2024,May,Q2,2024,Ian Davis,Paseo,France
Enterprise,CUST_ID_278,PROD_ID_003,None,1568.56,120,125,196070,0,196070,196.07,188227.2,7842.8,7.84,02-05-2024,May,Q2,2024,Bob Hernandez,Velo,Canada
Small Business,CUST_ID_251,PROD_ID_005,None,869.58,3,300,260874,0,260874,260.87,2608.74,258265.26,258.27,02-05-2024,May,Q2,2024,Paul Moore,Carretera,England
Enterprise,CUST_ID_158,PROD_ID_004,High,1908.11,250,125,238513.75,35777.06,202736.69,202.74,477027.5,-274290.81,-274.29,03-05-2024,May,Q2,2024,Frank Wilson,VTT,Germany
Small Business,CUST_ID_152,PROD_ID_001,High,459.93,5,300,137979,20696.85,117282.15,117.28,2299.65,114982.5,114.98,04-05-2024,May,Q2,2024,Quincy Martin,Montana,England
Enterprise,CUST_ID_205,PROD_ID_006,Medium,1646.34,260,125,205792.5,20579.25,185213.25,185.21,428048.4,-242835.15,-242.84,05-05-2024,May,Q2,2024,David Brown,Amarilla,USA
Channel Partners,CUST_ID_169,PROD_ID_005,High,638.83,3,12,7665.96,1149.89,6516.07,6.52,1916.49,4599.58,4.6,05-05-2024,May,Q2,2024,Paul Wilson,Carretera,Germany
Midmarket,CUST_ID_196,PROD_ID_004,None,530.77,250,15,7961.55,0,7961.55,7.96,132692.5,-124730.95,-124.73,08-05-2024,May,Q2,2024,Quincy Taylor,VTT,France
Government,CUST_ID_192,PROD_ID_004,Medium,2941.5,250,350,1029525,102952.5,926572.5,926.57,735375,191197.5,191.2,08-05-2024,May,Q2,2024,Alice Brown,VTT,England
Small Business,CUST_ID_181,PROD_ID_004,High,788.71,250,300,236613,35491.95,201121.05,201.12,197177.5,3943.55,3.94,09-05-2024,May,Q2,2024,Tina Taylor,VTT,Germany
Small Business,CUST_ID_184,PROD_ID_006,None,865.64,260,300,259692,0,259692,259.69,225066.4,34625.6,34.63,09-05-2024,May,Q2,2024,Paul Gonzalez,Amarilla,France
Government,CUST_ID_276,PROD_ID_004,High,1805.44,250,350,631904,94785.6,537118.4,537.12,451360,85758.4,85.76,10-05-2024,May,Q2,2024,Hannah Williams,VTT,India
Government,CUST_ID_174,PROD_ID_003,Low,2302.32,120,350,805812,40290.6,765521.4,765.52,276278.4,489243,489.24,10-05-2024,May,Q2,2024,Charlie Gonzalez,Velo,India
Enterprise,CUST_ID_174,PROD_ID_005,Medium,2946.54,3,125,368317.5,36831.75,331485.75,331.49,8839.62,322646.13,322.65,10-05-2024,May,Q2,2024,Charlie Gonzalez,Carretera,France
Government,CUST_ID_190,PROD_ID_005,None,1872.11,3,350,655238.5,0,655238.5,655.24,5616.33,649622.17,649.62,11-05-2024,May,Q2,2024,Nina Johnson,Carretera,India
Government,CUST_ID_171,PROD_ID_003,Low,3952.56,120,350,1383396,69169.8,1314226.2,1314.23,474307.2,839919,839.92,11-05-2024,May,Q2,2024,Charlie Thomas,Velo,Germany
Channel Partners,CUST_ID_214,PROD_ID_004,Medium,1352.8,250,12,16233.6,1623.36,14610.24,14.61,338200,-323589.76,-323.59,12-05-2024,May,Q2,2024,Rachel Miller,VTT,Canada
Channel Partners,CUST_ID_162,PROD_ID_001,High,1119.53,5,12,13434.36,2015.15,11419.21,11.42,5597.65,5821.56,5.82,12-05-2024,May,Q2,2024,Nina Martin,Montana,Japan
Small Business,CUST_ID_296,PROD_ID_003,Medium,668.45,120,300,200535,20053.5,180481.5,180.48,80214,100267.5,100.27,12-05-2024,May,Q2,2024,Oscar Martinez,Velo,USA
Government,CUST_ID_180,PROD_ID_002,Low,3528.73,10,350,1235055.5,61752.78,1173302.72,1173.3,35287.3,1138015.42,1138.02,13-05-2024,May,Q2,2024,Eva Rodriguez,Paseo,USA
Government,CUST_ID_172,PROD_ID_006,Medium,1941.84,260,350,679644,67964.4,611679.6,611.68,504878.4,106801.2,106.8,14-05-2024,May,Q2,2024,Mike Smith,Amarilla,Japan
Channel Partners,CUST_ID_266,PROD_ID_003,Medium,1950.08,120,12,23400.96,2340.1,21060.86,21.06,234009.6,-212948.74,-212.95,14-05-2024,May,Q2,2024,Oscar Moore,Velo,England
Midmarket,CUST_ID_205,PROD_ID_001,Medium,1807.42,5,15,27111.3,2711.13,24400.17,24.4,9037.1,15363.07,15.36,14-05-2024,May,Q2,2024,David Brown,Montana,Canada
Channel Partners,CUST_ID_262,PROD_ID_001,None,1092.4,5,12,13108.8,0,13108.8,13.11,5462,7646.8,7.65,15-05-2024,May,Q2,2024,David Johnson,Montana,USA
Government,CUST_ID_194,PROD_ID_004,High,3606.34,250,350,1262219,189332.85,1072886.15,1072.89,901585,171301.15,171.3,16-05-2024,May,Q2,2024,Oscar Jackson,VTT,Japan
Channel Partners,CUST_ID_228,PROD_ID_005,Medium,1535.99,3,12,18431.88,1843.19,16588.69,16.59,4607.97,11980.72,11.98,16-05-2024,May,Q2,2024,Steve Moore,Carretera,India
Enterprise,CUST_ID_228,PROD_ID_002,Low,1027.75,10,125,128468.75,6423.44,122045.31,122.05,10277.5,111767.81,111.77,16-05-2024,May,Q2,2024,Steve Moore,Paseo,Canada
Midmarket,CUST_ID_155,PROD_ID_001,Low,1221.68,5,15,18325.2,916.26,17408.94,17.41,6108.4,11300.54,11.3,17-05-2024,May,Q2,2024,Hannah Johnson,Montana,England
Government,CUST_ID_212,PROD_ID_006,Low,1258.28,260,350,440398,22019.9,418378.1,418.38,327152.8,91225.3,91.23,17-05-2024,May,Q2,2024,Julia Taylor,Amarilla,Japan
Government,CUST_ID_188,PROD_ID_004,None,1349.38,250,350,472283,0,472283,472.28,337345,134938,134.94,17-05-2024,May,Q2,2024,Julia Williams,VTT,England
Government,CUST_ID_264,PROD_ID_004,None,3579.39,250,350,1252786.5,0,1252786.5,1252.79,894847.5,357939,357.94,18-05-2024,May,Q2,2024,Hannah Jackson,VTT,France
Small Business,CUST_ID_202,PROD_ID_005,High,240.74,3,300,72222,10833.3,61388.7,61.39,722.22,60666.48,60.67,18-05-2024,May,Q2,2024,Julia Martin,Carretera,USA
Government,CUST_ID_177,PROD_ID_004,High,3211.23,250,350,1123930.5,168589.57,955340.93,955.34,802807.5,152533.43,152.53,19-05-2024,May,Q2,2024,Laura Miller,VTT,Germany
Government,CUST_ID_160,PROD_ID_004,High,2540.07,250,350,889024.5,133353.67,755670.83,755.67,635017.5,120653.33,120.65,20-05-2024,May,Q2,2024,Eva Miller,VTT,Japan
Enterprise,CUST_ID_210,PROD_ID_005,None,1844.01,3,125,230501.25,0,230501.25,230.5,5532.03,224969.22,224.97,20-05-2024,May,Q2,2024,Bob Gonzalez,Carretera,Italy
Enterprise,CUST_ID_292,PROD_ID_003,High,2778.28,120,125,347285,52092.75,295192.25,295.19,333393.6,-38201.35,-38.2,21-05-2024,May,Q2,2024,Hannah Moore,Velo,Canada
Channel Partners,CUST_ID_277,PROD_ID_006,Medium,1172.49,260,12,14069.88,1406.99,12662.89,12.66,304847.4,-292184.51,-292.18,21-05-2024,May,Q2,2024,Quincy Anderson,Amarilla,India
Midmarket,CUST_ID_156,PROD_ID_003,Low,1203.86,120,15,18057.9,902.9,17155,17.16,144463.2,-127308.2,-127.31,22-05-2024,May,Q2,2024,Laura Davis,Velo,Japan
Channel Partners,CUST_ID_210,PROD_ID_002,Medium,1882.6,10,12,22591.2,2259.12,20332.08,20.33,18826,1506.08,1.51,22-05-2024,May,Q2,2024,Bob Gonzalez,Paseo,Japan
Small Business,CUST_ID_184,PROD_ID_006,High,967.84,260,300,290352,43552.8,246799.2,246.8,251638.4,-4839.2,-4.84,23-05-2024,May,Q2,2024,Paul Gonzalez,Amarilla,Italy
Midmarket,CUST_ID_271,PROD_ID_005,Low,923.69,3,15,13855.35,692.77,13162.58,13.16,2771.07,10391.51,10.39,24-05-2024,May,Q2,2024,Tina Johnson,Carretera,Canada
Midmarket,CUST_ID_274,PROD_ID_002,Low,734.47,10,15,11017.05,550.85,10466.2,10.47,7344.7,3121.5,3.12,24-05-2024,May,Q2,2024,Oscar Taylor,Paseo,Japan
Government,CUST_ID_176,PROD_ID_004,Medium,1704.16,250,350,596456,59645.6,536810.4,536.81,426040,110770.4,110.77,25-05-2024,May,Q2,2024,David Smith,VTT,USA
Small Business,CUST_ID_155,PROD_ID_003,Medium,741.54,120,300,222462,22246.2,200215.8,200.22,88984.8,111231,111.23,25-05-2024,May,Q2,2024,Hannah Johnson,Velo,England
Enterprise,CUST_ID_279,PROD_ID_001,Medium,1861.24,5,125,232655,23265.5,209389.5,209.39,9306.2,200083.3,200.08,27-05-2024,May,Q2,2024,Ian Johnson,Montana,France
Channel Partners,CUST_ID_181,PROD_ID_002,High,886.73,10,12,10640.76,1596.11,9044.65,9.04,8867.3,177.35,0.18,27-05-2024,May,Q2,2024,Tina Taylor,Paseo,Italy
Enterprise,CUST_ID_241,PROD_ID_005,Medium,2792.64,3,125,349080,34908,314172,314.17,8377.92,305794.08,305.79,28-05-2024,May,Q2,2024,Ian Williams,Carretera,Canada
Government,CUST_ID_163,PROD_ID_004,None,3923.98,250,350,1373393,0,1373393,1373.39,980995,392398,392.4,28-05-2024,May,Q2,2024,Alice Rodriguez,VTT,Canada
Enterprise,CUST_ID_294,PROD_ID_005,None,1334.09,3,125,166761.25,0,166761.25,166.76,4002.27,162758.98,162.76,29-05-2024,May,Q2,2024,Julia Anderson,Carretera,Canada
Small Business,CUST_ID_203,PROD_ID_002,Medium,766.53,10,300,229959,22995.9,206963.1,206.96,7665.3,199297.8,199.3,30-05-2024,May,Q2,2024,Frank Lopez,Paseo,Japan
Midmarket,CUST_ID_176,PROD_ID_006,Medium,1001.91,260,15,15028.65,1502.87,13525.78,13.53,260496.6,-246970.82,-246.97,31-05-2024,May,Q2,2024,David Smith,Amarilla,England
